datetime,A,B,C,D,E,F,G,H,I,J,K,L,M
2024-07-12,5549.310591987319,0.0,99.66770714286,3.0,0.0,10.0,229.12800000000607,229.12800000000607,11.0,229.12800000000607,1e+100,229.12800000000607,1e+100
2024-07-15,5549.310591987319,0.0,99.40877500000293,3.0,0.0,10.0,234.20200000000568,234.20200000000568,11.0,234.20200000000568,1e+100,234.20200000000568,1e+100
2024-07-16,5577.430589864871,0.0,103.42570357143131,2.0,0.0,10.0,258.9510000000055,258.9510000000055,11.0,258.9510000000055,1e+100,258.9510000000055,1e+100
2024-07-17,5577.430589864871,0.0,93.4382571428596,3.0,0.0,10.0,170.141000000006,170.141000000006,11.0,170.141000000006,1e+100,170.141000000006,1e+100
2024-07-18,5642.557917646954,1.0,77.29481428571648,3.0,0.0,10.0,115.16050000000541,115.16050000000541,11.0,115.16050000000541,1e+100,115.16050000000541,1e+100
2024-07-19,5604.115021764606,1.0,53.62136428571621,3.0,0.0,10.0,63.28750000000491,63.28750000000491,13.0,63.28750000000491,1e+100,63.28750000000491,1e+100
2024-07-22,5604.115021764606,1.0,41.653857142858826,3.0,0.0,10.0,112.03950000000532,112.03950000000532,11.0,112.03950000000532,1e+100,112.03950000000532,1e+100
2024-07-23,5604.104482142557,1.0,26.849464285716053,3.0,0.0,10.0,92.39400000000478,92.39400000000478,11.0,92.39400000000478,1e+100,92.39400000000478,1e+100
2024-07-24,5534.855758035429,1.0,-7.433096428569712,4.0,0.0,10.0,-47.73549999999523,-47.73549999999523,12.0,-47.73549999999523,12.0,-47.73549999999523,1e+100
2024-07-25,5511.642970133657,1.0,-41.522796428569734,4.0,0.0,10.0,-89.28249999999571,-89.28249999999571,12.0,-89.28249999999571,1e+100,-89.28249999999571,1e+100
2024-07-26,5511.642970133657,1.0,-60.87256785714098,4.0,0.0,10.0,-39.88449999999466,-39.88449999999466,12.0,-39.88449999999466,1e+100,-39.88449999999466,1e+100
2024-07-29,5511.642970133657,1.0,-79.97689642856963,4.0,0.0,10.0,-45.14049999999497,-45.14049999999497,12.0,-45.14049999999497,1e+100,-45.14049999999497,1e+100
2024-07-30,5511.642970133657,1.0,-101.87549285714101,4.0,0.0,10.0,-82.11349999999584,-82.11349999999584,12.0,-82.11349999999584,1e+100,-82.11349999999584,1e+100
2024-07-31,5399.339554370073,0.0,-103.13142142856961,4.0,0.0,10.0,-8.053499999996347,-8.053499999996347,12.0,-8.053499999996347,1e+100,-8.053499999996347,1e+100
2024-08-01,5399.339554370073,0.0,-115.59761785714113,4.0,0.0,10.0,-89.40549999999621,-89.40549999999621,12.0,-89.40549999999621,1e+100,-89.40549999999621,1e+100
2024-08-02,5486.7740771810095,1.0,-137.76132857142684,4.0,0.0,10.0,-192.42349999999624,-192.42349999999624,12.0,-192.42349999999624,1e+100,-192.42349999999624,1e+100
2024-08-05,5342.281873321959,1.0,-175.75092857142695,4.0,0.0,10.0,-354.2249999999967,-354.2249999999967,12.0,-354.2249999999967,1e+100,-354.2249999999967,1e+100
2024-08-06,5342.281873321959,1.0,-197.1533678571411,4.0,0.0,10.0,-305.5144999999966,-305.5144999999966,12.0,-305.5144999999966,1e+100,-305.5144999999966,1e+100
2024-08-07,5342.281873321959,1.0,-215.70297857142674,4.0,0.0,10.0,-351.43799999999555,-351.43799999999555,12.0,-351.43799999999555,1e+100,-351.43799999999555,1e+100
2024-08-08,5342.281873321959,1.0,-212.84523571428375,5.0,0.0,10.0,-229.53949999999622,-229.53949999999622,12.0,-229.53949999999622,1e+100,-229.53949999999622,1e+100
2024-08-09,5176.146269542555,0.0,-199.28075714285518,5.0,0.0,10.0,-200.75549999999566,-200.75549999999566,12.0,-200.75549999999566,1e+100,-200.75549999999566,1e+100
2024-08-12,5180.093456065429,0.0,-181.125032142855,5.0,0.0,10.0,-199.3359999999957,-199.3359999999957,12.0,-199.3359999999957,1e+100,-199.3359999999957,1e+100
2024-08-13,5269.155783262157,0.0,-138.00179285714077,5.0,0.0,10.0,-109.42899999999645,-109.42899999999645,13.0,-109.42899999999645,1e+100,-109.42899999999645,1e+100
2024-08-14,5293.448994099049,0.0,-97.58015357142656,5.0,0.0,10.0,-86.73649999999634,-86.73649999999634,13.0,-86.73649999999634,1e+100,-86.73649999999634,1e+100
2024-08-15,5380.4435443940965,0.0,-44.357503571426754,5.0,0.0,10.0,0.6100000000033106,0.6100000000033106,11.0,0.6100000000033106,1e+100,0.6100000000033106,1e+100
2024-08-16,5395.9508671743915,0.0,4.275678571430433,2.0,0.0,10.0,16.176000000004024,16.176000000004024,11.0,16.176000000004024,1e+100,16.176000000004024,11.0
2024-08-19,5452.090323815672,0.0,64.26421785714462,2.0,0.0,10.0,81.18850000000384,81.18850000000384,11.0,81.18850000000384,1e+100,81.18850000000384,1e+100
2024-08-20,5456.396807624888,0.0,117.34026785714451,2.0,0.0,10.0,89.38450000000375,89.38450000000375,11.0,89.38450000000375,1e+100,89.38450000000375,1e+100
2024-08-21,5472.477967243644,0.0,158.36843214285895,2.0,0.0,10.0,129.9610000000048,129.9610000000048,11.0,129.9610000000048,1e+100,129.9610000000048,1e+100
2024-08-22,5472.477967243644,0.0,182.0731607142877,2.0,0.0,10.0,101.49150000000373,101.49150000000373,11.0,101.49150000000373,1e+100,101.49150000000373,1e+100
2024-08-23,5485.770615437389,0.0,218.58348928571664,2.0,0.0,10.0,178.70400000000518,178.70400000000518,11.0,178.70400000000518,1e+100,178.70400000000518,1e+100
2024-08-26,5488.28408466552,0.0,246.845303571431,2.0,0.0,10.0,174.51350000000457,174.51350000000457,11.0,174.51350000000457,1e+100,174.51350000000457,1e+100
2024-08-27,5491.829880432244,0.0,269.38720714285955,2.0,0.0,10.0,197.7950000000037,197.7950000000037,11.0,197.7950000000037,1e+100,197.7950000000037,1e+100
2024-08-28,5492.360386410632,0.0,289.59422500000244,2.0,0.0,10.0,175.83350000000337,175.83350000000337,11.0,175.83350000000337,1e+100,175.83350000000337,1e+100
2024-08-29,5493.1483670901,0.0,299.1533857142881,2.0,0.0,10.0,182.24750000000404,182.24750000000404,11.0,182.24750000000404,1e+100,182.24750000000404,1e+100
2024-08-30,5507.052948735595,0.0,306.9663857142881,2.0,0.0,10.0,238.75600000000395,238.75600000000395,11.0,238.75600000000395,1e+100,238.75600000000395,1e+100
2024-09-03,5507.052948735595,0.0,271.7466750000025,3.0,0.0,10.0,116.82250000000477,116.82250000000477,11.0,116.82250000000477,1e+100,116.82250000000477,1e+100
